title,abbrev_title
Journal of evolutionary biology,J Evol Biol
Psychology & health,Psychol Health
Gynecological endocrinology : the official journal of the International Society of Gynecological Endocrinology,Gynecol Endocrinol
Journal of orthopaedic trauma,J Orthop Trauma
Journal of endourology,J Endourol
Synapse,Synapse
In vivo,In Vivo
Surgical endoscopy,Surg Endosc
Journal of hand therapy : official journal of the American Society of Hand Therapists,J Hand Ther
The Clinical neuropsychologist,Clin Neuropsychol
Journal of cognitive psychotherapy,J Cogn Psychother
Immunology and allergy clinics of North America,Immunol Allergy Clin North Am
"Journal of photochemistry and photobiology.  B, Biology",J Photochem Photobiol B
Alcohol and alcoholism. Supplement,Alcohol Alcohol Suppl
Journal of cardiology,J Cardiol
Korean journal of ophthalmology : KJO,Korean J Ophthalmol
Infectious disease clinics of North America,Infect Dis Clin North Am
FASEB journal : official publication of the Federation of American Societies for Experimental Biology,FASEB J
Environmental pollution,Environ Pollut
Transplantation reviews,Transplant Rev (Orlando)
Scandinavian journal of caring sciences,Scand J Caring Sci
European journal of cardio-thoracic surgery : official journal of the European Association for Cardio-thoracic Surgery,Eur J Cardiothorac Surg
Virus genes,Virus Genes
Reproductive toxicology,Reprod Toxicol
Plant foods for human nutrition,Plant Foods Hum Nutr
Psychology of addictive behaviors : journal of the Society of Psychologists in Addictive Behaviors,Psychol Addict Behav
Nutrition,Nutrition
Clinical linguistics & phonetics,Clin Linguist Phon
Rapid communications in mass spectrometry : RCM,Rapid Commun Mass Spectrom
Journal of family psychology : JFP : journal of the Division of Family Psychology of the American Psychological Association (Division 43),J Fam Psychol
Clinical rehabilitation,Clin Rehabil
Advances in dental research,Adv Dent Res
Viral immunology,Viral Immunol
The Journal of perinatal & neonatal nursing,J Perinat Neonatal Nurs
Journal of clinical laboratory analysis,J Clin Lab Anal
Breast disease,Breast Dis
Journal of health care chaplaincy,J Health Care Chaplain
"Brain, behavior, and immunity",Brain Behav Immun
Immunopharmacology and immunotoxicology,Immunopharmacol Immunotoxicol
Genomics,Genomics
Environmental and molecular mutagenesis,Environ Mol Mutagen
Endocrinology and metabolism clinics of North America,Endocrinol Metab Clin North Am
British journal of neurosurgery,Br J Neurosurg
Journal of voice : official journal of the Voice Foundation,J Voice
Zhonghua jie he he hu xi za zhi = Zhonghua jiehe he huxi zazhi = Chinese journal of tuberculosis and respiratory diseases,Zhonghua Jie He He Hu Xi Za Zhi
Cardiovascular drugs and therapy,Cardiovasc Drugs Ther
Toxicology in vitro : an international journal published in association with BIBRA,Toxicol In Vitro
Oncology,Oncology (Williston Park)
Molecular microbiology,Mol Microbiol
Genes & development,Genes Dev
Oncogene,Oncogene
Zhonghua kou qiang yi xue za zhi = Zhonghua kouqiang yixue zazhi = Chinese journal of stomatology,Zhonghua Kou Qiang Yi Xue Za Zhi
Journal of personality disorders,J Pers Disord
Advanced drug delivery reviews,Adv Drug Deliv Rev
Journal of computer-aided molecular design,J Comput Aided Mol Des
Fundamental & clinical pharmacology,Fundam Clin Pharmacol
Cognition & emotion,Cogn Emot
Brain injury,Brain Inj
Clinical transplantation,Clin Transplant
AIDS,AIDS
Archives of gynecology and obstetrics,Arch Gynecol Obstet
Journal of anxiety disorders,J Anxiety Disord
Research in developmental disabilities,Res Dev Disabil
Paediatric and perinatal epidemiology,Paediatr Perinat Epidemiol
Molecular and cellular probes,Mol Cell Probes
Journal of pediatric health care : official publication of National Association of Pediatric Nurse Associates & Practitioners,J Pediatr Health Care
Obstetrics and gynecology clinics of North America,Obstet Gynecol Clin North Am
Neurotoxicology and teratology,Neurotoxicol Teratol
Hematology/oncology clinics of North America,Hematol Oncol Clin North Am
AIDS research and human retroviruses,AIDS Res Hum Retroviruses
Free radical biology & medicine,Free Radic Biol Med
Clinical nurse specialist CNS,Clin Nurse Spec
Acta oncologica,Acta Oncol
Transfusion medicine reviews,Transfus Med Rev
Pediatric nephrology : journal of the International Pediatric Nephrology Association,Pediatr Nephrol
Medical and veterinary entomology,Med Vet Entomol
Journal of veterinary internal medicine,J Vet Intern Med
Blood reviews,Blood Rev
Asia-Pacific journal of public health,Asia Pac J Public Health
Archives of psychiatric nursing,Arch Psychiatr Nurs
Rheumatic diseases clinics of North America,Rheum Dis Clin North Am
Alimentary pharmacology & therapeutics,Aliment Pharmacol Ther
Immunology and cell biology,Immunol Cell Biol
Gastroenterology clinics of North America,Gastroenterol Clin North Am
Acta radiologica,Acta Radiol
Palliative medicine,Palliat Med
Leukemia,Leukemia
Bioethics,Bioethics
Alzheimer disease and associated disorders,Alzheimer Dis Assoc Disord
Journal of the American Academy of Child and Adolescent Psychiatry,J Am Acad Child Adolesc Psychiatry
Genome,Genome
Critical care nursing quarterly,Crit Care Nurs Q
Journal of cranio-maxillo-facial surgery : official publication of the European Association for Cranio-Maxillo-Facial Surgery,J Craniomaxillofac Surg
Journal of clinical pharmacy and therapeutics,J Clin Pharm Ther
Eye,Eye (Lond)
European journal of haematology,Eur J Haematol
Epidemiology and infection,Epidemiol Infect
Reviews of environmental contamination and toxicology,Rev Environ Contam Toxicol
Parasitology research,Parasitol Res
European journal of haematology. Supplementum,Eur J Haematol Suppl
Cleveland Clinic journal of medicine,Cleve Clin J Med
Epilepsy research,Epilepsy Res
The Pediatric infectious disease journal,Pediatr Infect Dis J
Development,Development
Canadian journal of anaesthesia = Journal canadien d'anesthésie,Can J Anaesth
Renal failure,Ren Fail
Journal of animal breeding and genetics = Zeitschrift für Tierzüchtung und Züchtungsbiologie,J Anim Breed Genet
Tree physiology,Tree Physiol
Fish physiology and biochemistry,Fish Physiol Biochem
"IEEE transactions on ultrasonics, ferroelectrics, and frequency control",IEEE Trans Ultrason Ferroelectr Freq Control
"Neuropsychiatrie : Klinik, Diagnostik, Therapie und Rehabilitation : Organ der Gesellschaft Österreichischer Nervenärzte und Psychiater",Neuropsychiatr
Psychiatria Hungarica : A Magyar Pszichiátriai Társaság tudományos folyóirata,Psychiatr Hung
Medical problems of performing artists,Med Probl Perform Art
Acta cirúrgica brasileira,Acta Cir Bras
Nutrición hospitalaria,Nutr Hosp
Arquivos brasileiros de cirurgia digestiva : ABCD = Brazilian archives of digestive surgery,Arq Bras Cir Dig
Phlebology,Phlebology
Archives of clinical neuropsychology : the official journal of the National Academy of Neuropsychologists,Arch Clin Neuropsychol
Journal of law and health,J Law Health
Violence and victims,Violence Vict
"Zeitschrift für Naturforschung. C, A journal of biosciences",Z Naturforsch C J Biosci
Journal of cardiac surgery,J Card Surg
Psychology and aging,Psychol Aging
Journal of biomaterials applications,J Biomater Appl
Canadian Association of Radiologists journal = Journal l'Association canadienne des radiologistes,Can Assoc Radiol J
Journal of contaminant hydrology,J Contam Hydrol
Trends in ecology & evolution,Trends Ecol Evol
The Korean journal of internal medicine,Korean J Intern Med
The International journal of biological markers,Int J Biol Markers
International reviews of immunology,Int Rev Immunol
Reviews in the neurosciences,Rev Neurosci
International journal of geriatric psychiatry,Int J Geriatr Psychiatry
Mutagenesis,Mutagenesis
"Nephrology, dialysis, transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association",Nephrol Dial Transplant
Annals of vascular surgery,Ann Vasc Surg
Journal of National Black Nurses' Association : JNBNA,J Natl Black Nurses Assoc
Journal of Korean medical science,J Korean Med Sci
The Journal of cardiovascular nursing,J Cardiovasc Nurs
The Journal of arthroplasty,J Arthroplasty
Clinical & experimental optometry,Clin Exp Optom
The Journal of head trauma rehabilitation,J Head Trauma Rehabil
Human psychopharmacology,Hum Psychopharmacol
Bone marrow transplantation,Bone Marrow Transplant
Holistic nursing practice,Holist Nurs Pract
American journal of health promotion : AJHP,Am J Health Promot
Human reproduction,Hum Reprod
Digestive diseases,Dig Dis
Journal of interpersonal violence,J Interpers Violence
Journal of cross-cultural gerontology,J Cross Cult Gerontol
Proteins,Proteins
Perfusion,Perfusion
Pediatric hematology and oncology,Pediatr Hematol Oncol
Journal of biological rhythms,J Biol Rhythms
The International journal of oral & maxillofacial implants,Int J Oral Maxillofac Implants
Clinical biomechanics,"Clin Biomech (Bristol, Avon)"
Lasers in medical science,Lasers Med Sci
Immunologic research,Immunol Res
Dysphagia,Dysphagia
Seminars in ophthalmology,Semin Ophthalmol
Movement disorders : official journal of the Movement Disorder Society,Mov Disord
Journal of critical care,J Crit Care
Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research,J Bone Miner Res
Health policy and planning,Health Policy Plan
Metabolic brain disease,Metab Brain Dis
Journal of intensive care medicine,J Intensive Care Med
Journal of cancer education : the official journal of the American Association for Cancer Education,J Cancer Educ
Biomedical chromatography : BMC,Biomed Chromatogr
"American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics",Am J Orthod Dentofacial Orthop
Biotechnology and applied biochemistry,Biotechnol Appl Biochem
Histology and histopathology,Histol Histopathol
Pediatric surgery international,Pediatr Surg Int
International clinical psychopharmacology,Int Clin Psychopharmacol
Pancreas,Pancreas
Health education research,Health Educ Res
Current opinion in cardiology,Curr Opin Cardiol
Surgical and radiologic anatomy : SRA,Surg Radiol Anat
Journal of gastroenterology and hepatology,J Gastroenterol Hepatol
International journal of colorectal disease,Int J Colorectal Dis
Canadian journal of veterinary research = Revue canadienne de recherche vétérinaire,Can J Vet Res
Journal of pediatric nursing,J Pediatr Nurs
The Milbank quarterly,Milbank Q
Nutrition in clinical practice : official publication of the American Society for Parenteral and Enteral Nutrition,Nutr Clin Pract
Journal of child neurology,J Child Neurol
Microbial pathogenesis,Microb Pathog
Biochemistry and cell biology = Biochimie et biologie cellulaire,Biochem Cell Biol
Journal of pain and symptom management,J Pain Symptom Manage
Journal of general internal medicine,J Gen Intern Med
International journal of oral and maxillofacial surgery,Int J Oral Maxillofac Surg
Animal genetics,Anim Genet
Clinics in podiatric medicine and surgery,Clin Podiatr Med Surg
Journal of cataract and refractive surgery,J Cataract Refract Surg
The Journal of neuroscience nursing : journal of the American Association of Neuroscience Nurses,J Neurosci Nurs
Strahlentherapie und Onkologie : Organ der Deutschen Röntgengesellschaft ... [et al],Strahlenther Onkol
Taiwanese journal of obstetrics & gynecology,Taiwan J Obstet Gynecol
"Biomedical papers of the Medical Faculty of the University Palacký, Olomouc, Czechoslovakia",Biomed Pap Med Fac Univ Palacky Olomouc Czech Repub
Langmuir : the ACS journal of surfaces and colloids,Langmuir
Magnetic resonance in chemistry : MRC,Magn Reson Chem
Plant science : an international journal of experimental plant biology,Plant Sci
